분절,record_id,seg_idx,인코더,참조,rho
5,100,5,enc7,ma,0.38620279649862355
5,100,5,enc7,em,0.38346881465445204
5,100,5,enc8,x_clean,0.064041172981144
5,100,5,enc8,bw,0.42807706236824783
5,100,5,enc8,ma,0.041812472430915064
5,100,5,enc8,em,0.35406385953778013
6,100,6,enc1,x_clean,0.1034316422289287
6,100,6,enc1,bw,-0.47533632109227064
6,100,6,enc1,ma,-0.27016597210291443
6,100,6,enc1,em,0.2592223948505375
6,100,6,enc2,x_clean,-0.015822190097585214
6,100,6,enc2,bw,0.6678540774113809
6,100,6,enc2,ma,0.4785037612125051
6,100,6,enc2,em,0.5036633737959799
6,100,6,enc3,x_clean,0.008361319774072515
6,100,6,enc3,bw,0.7763327512974881
6,100,6,enc3,ma,0.5145245018550626
6,100,6,enc3,em,0.6272090195410823
6,100,6,enc4,x_clean,0.5896041245333211
6,100,6,enc4,bw,0.07788738958236578
6,100,6,enc4,ma,0.07050394031631986
6,100,6,enc4,em,0.1148036485047414
6,100,6,enc5,x_clean,0.08177130563693798
6,100,6,enc5,bw,-0.7322287555316619
6,100,6,enc5,ma,-0.3066075827173248
6,100,6,enc5,em,-0.41066151728616307
6,100,6,enc6,x_clean,-0.009487708154901069
6,100,6,enc6,bw,0.5082019984559021
6,100,6,enc6,ma,0.18583858682703538
6,100,6,enc6,em,0.535507497721866
6,100,6,enc7,x_clean,-0.044029755515030855
6,100,6,enc7,bw,0.7751190170170708
6,100,6,enc7,ma,0.6381858190603789
6,100,6,enc7,em,0.18829843589108364
6,100,6,enc8,x_clean,0.02927539975990687
6,100,6,enc8,bw,-0.16883479812901706
6,100,6,enc8,ma,0.006718736651745353
6,100,6,enc8,em,0.13674099966280442
7,100,7,enc1,x_clean,0.022595549913811613
7,100,7,enc1,bw,-0.7176529320672039
7,100,7,enc1,ma,-0.10147101113819347
7,100,7,enc1,em,-0.2948194077437183
7,100,7,enc2,x_clean,0.06844351843987366
7,100,7,enc2,bw,0.49585127580506083
7,100,7,enc2,ma,0.4275009583662139
7,100,7,enc2,em,0.21664592091171225
7,100,7,enc3,x_clean,0.10107037273164445
7,100,7,enc3,bw,0.8202518718178242
7,100,7,enc3,ma,0.6866174200766806
7,100,7,enc3,em,0.3793766382631802
7,100,7,enc4,x_clean,0.6810700944048594
7,100,7,enc4,bw,0.08930906125873327
7,100,7,enc4,ma,0.07622507710278872
7,100,7,enc4,em,-0.03207633958889244
7,100,7,enc5,x_clean,-0.01295304951918542
7,100,7,enc5,bw,-0.18337815269803454
7,100,7,enc5,ma,-0.39535110213515195
7,100,7,enc5,em,-0.20378633022882817
7,100,7,enc6,x_clean,0.056331089256787786
7,100,7,enc6,bw,0.49098244337902064
7,100,7,enc6,ma,0.2724124114725589
7,100,7,enc6,em,0.12452495833867873
7,100,7,enc7,x_clean,0.08869957802703245
7,100,7,enc7,bw,0.5978539948706637
7,100,7,enc7,ma,0.1461721593987326
7,100,7,enc7,em,0.3345443229095939
7,100,7,enc8,x_clean,0.11291615094871452
7,100,7,enc8,bw,0.4801940881222505
7,100,7,enc8,ma,0.01964863661637879
7,100,7,enc8,em,0.4513476806611598
8,100,8,enc1,x_clean,0.03754630497028666
8,100,8,enc1,bw,-0.32463312679327083
8,100,8,enc1,ma,0.33335418120237037
8,100,8,enc1,em,-0.03837295014680964
8,100,8,enc2,x_clean,-0.005214384603385937
8,100,8,enc2,bw,0.7744353887122514
8,100,8,enc2,ma,0.12756421930122502
